"Election_Type","State_Name","Assembly_No","Constituency_No","Year","month","Poll_No","DelimID","Position","Candidate","Sex","Party","Votes","Candidate_Type","Valid_Votes","Electors","Constituency_Name","Constituency_Type","Sub_Region","N_Cand","Turnout_Percentage","Vote_Share_Percentage","Deposit_Lost","Margin","Margin_Percentage","ENOP","pid","Party_Type_TCPD","Party_ID","last_poll","Contested","Last_Party","Last_Party_ID","Last_Constituency_Name","Same_Constituency","Same_Party","No_Terms","Turncoat","Incumbent","Recontest","Age","District_Name"
"AE","Goa","1","1","1989","11","0","3","1","KHALAP RAMAKANT DATTARAM","M","MAG","6900","","13115","16645","MANDREM","GEN","","7","78.79","52.61","no","1281","9.77","2.17","","","","","","","","","","","","","","","",""
"AE","Goa","1","1","1989","11","0","3","2","POROBO SANGITA GOPAL","F","INC","5619","","13115","16645","MANDREM","GEN","","7","78.79","42.84","no","5259","40.1","2.17","","","","","","","","","","","","","","","",""
"AE","Goa","1","1","1989","11","0","3","3","PARSHEKAR LAXMIKANT YESHWANT","M","IND","360","","13115","16645","MANDREM","GEN","","7","78.79","2.74","yes","247","1.88","2.17","","","","","","","","","","","","","","","",""
"AE","Goa","1","1","1989","11","0","3","4","PARSHEKAR RUDRAJI SHIVRAM","M","IND","113","","13115","16645","MANDREM","GEN","","7","78.79","0.86","yes","14","0.11","2.17","","","","","","","","","","","","","","","",""
"AE","Goa","1","1","1989","11","0","3","5","GAONKAR BABUSO SAVLO","M","IND","99","","13115","16645","MANDREM","GEN","","7","78.79","0.75","yes","83","0.63","2.17","","","","","","","","","","","","","","","",""
"AE","Goa","1","1","1989","11","0","3","6","GANTWAL GURUNATH SHANKAR","M","IND","16","","13115","16645","MANDREM","GEN","","7","78.79","0.12","yes","8","0.06","2.17","","","","","","","","","","","","","","","",""
"AE","Goa","1","1","1989","11","0","3","7","BARDE ANIL DHYANESHWAR","M","IND","8","","13115","16645","MANDREM","GEN","","7","78.79","0.06","yes","0","0","2.17","","","","","","","","","","","","","","","",""
"AE","Goa","1","2","1989","11","0","3","1","SALGOANKAR SHANKAR KASHINATH","M","MAG","7074","","11410","15294","PERNEM","GEN","","7","74.6","62","no","3529","30.93","2.08","","","","","","","","","","","","","","","",""
"AE","Goa","1","2","1989","11","0","3","2","TALEVNEKAR RAJU BAPU","M","INC","3545","","11410","15294","PERNEM","GEN","","7","74.6","31.07","no","3290","28.83","2.08","","","","","","","","","","","","","","","",""
"AE","Goa","1","2","1989","11","0","3","3","RAUL VASSUDEV SAKHARAM","M","IND","255","","11410","15294","PERNEM","GEN","","7","74.6","2.23","yes","74","0.65","2.08","","","","","","","","","","","","","","","",""
"AE","Goa","1","2","1989","11","0","3","4","ASSOLKAR ARJUN ATMARAM","M","GBS","181","","11410","15294","PERNEM","GEN","","7","74.6","1.59","yes","13","0.11","2.08","","","","","","","","","","","","","","","",""
"AE","Goa","1","2","1989","11","0","3","5","DESHPARBHU ANANTRAO","M","IND","168","","11410","15294","PERNEM","GEN","","7","74.6","1.47","yes","26","0.23","2.08","","","","","","","","","","","","","","","",""
"AE","Goa","1","2","1989","11","0","3","6","KAMULKAR VIJAY MARUTI","M","SHS","142","","11410","15294","PERNEM","GEN","","7","74.6","1.24","yes","97","0.85","2.08","","","","","","","","","","","","","","","",""
"AE","Goa","1","2","1989","11","0","3","7","RAO GOPINATH WAMAN","M","CPI","45","","11410","15294","PERNEM","GEN","","7","74.6","0.39","yes","0","0","2.08","","","","","","","","","","","","","","","",""
"AE","Goa","1","3","1989","11","0","3","1","MANDREKAR DEU GUNAJI","M","MAG","6544","","8781","12530","DARGALIM","SC","","7","70.08","74.52","no","5425","61.78","1.69","","","","","","","","","","","","","","","",""
"AE","Goa","1","3","1989","11","0","3","2","BANDEKAR SHAMBHU BHAU","M","INC","1119","","8781","12530","DARGALIM","SC","","7","70.08","12.74","yes","311","3.54","1.69","","","","","","","","","","","","","","","",""
"AE","Goa","1","3","1989","11","0","3","3","ARLEKAR ANIL RAMCHANDRA","M","IND","808","","8781","12530","DARGALIM","SC","","7","70.08","9.2","yes","652","7.43","1.69","","","","","","","","","","","","","","","",""
"AE","Goa","1","3","1989","11","0","3","4","NIPANIKAR BALRAM VISHNU","M","IND","156","","8781","12530","DARGALIM","SC","","7","70.08","1.78","yes","72","0.82","1.69","","","","","","","","","","","","","","","",""
"AE","Goa","1","3","1989","11","0","3","5","ARLEKAR VISHWANATH NARASOBHA","M","BJP","84","","8781","12530","DARGALIM","SC","","7","70.08","0.96","yes","25","0.28","1.69","","","","","","","","","","","","","","","",""
"AE","Goa","1","3","1989","11","0","3","6","HALARNAKAR SUBHASH RAMNATH","M","IND","59","","8781","12530","DARGALIM","SC","","7","70.08","0.67","yes","48","0.55","1.69","","","","","","","","","","","","","","","",""
"AE","Goa","1","3","1989","11","0","3","7","MIRAJKAR NARESH MIRAJI","M","IND","11","","8781","12530","DARGALIM","SC","","7","70.08","0.13","yes","0","0","1.69","","","","","","","","","","","","","","","",""
"AE","Goa","1","4","1989","11","0","3","1","NAIK VINAYAK VITTHAL","M","MAG","6797","","14108","19917","TIVIM","GEN","","11","70.83","48.18","no","2033","14.41","2.78","","","","","","","","","","","","","","","",""
"AE","Goa","1","4","1989","11","0","3","2","MAULINGKAR PREMNATH ARJUN","M","INC","4764","","14108","19917","TIVIM","GEN","","11","70.83","33.77","no","2887","20.46","2.78","","","","","","","","","","","","","","","",""
"AE","Goa","1","4","1989","11","0","3","3","HALARNAKAR NIKANT PUNDALIK","M","IND","1877","","14108","19917","TIVIM","GEN","","11","70.83","13.3","yes","1593","11.29","2.78","","","","","","","","","","","","","","","",""
"AE","Goa","1","4","1989","11","0","3","4","HARMALKAR SANJAY PUNDALIK","M","IND","284","","14108","19917","TIVIM","GEN","","11","70.83","2.01","yes","168","1.19","2.78","","","","","","","","","","","","","","","",""
"AE","Goa","1","4","1989","11","0","3","5","NAIK SUHAS BABURAO","M","SHS","116","","14108","19917","TIVIM","GEN","","11","70.83","0.82","yes","33","0.23","2.78","","","","","","","","","","","","","","","",""
"AE","Goa","1","4","1989","11","0","3","6","PHADTE ARJUN KRISHNA","M","GLP","83","","14108","19917","TIVIM","GEN","","11","70.83","0.59","yes","3","0.02","2.78","","","","","","","","","","","","","","","",""
"AE","Goa","1","4","1989","11","0","3","7","BEPARI LALA ISMAIL","M","IND","80","","14108","19917","TIVIM","GEN","","11","70.83","0.57","yes","29","0.21","2.78","","","","","","","","","","","","","","","",""
