"Election_Type","State_Name","Assembly_No","Constituency_No","Year","month","Poll_No","DelimID","Position","Candidate","Sex","Party","Votes","Candidate_Type","Valid_Votes","Electors","Constituency_Name","Constituency_Type","Sub_Region","N_Cand","Turnout_Percentage","Vote_Share_Percentage","Deposit_Lost","Margin","Margin_Percentage","ENOP","pid","Party_Type_TCPD","Party_ID","last_poll","Contested","Last_Party","Last_Party_ID","Last_Constituency_Name","Same_Constituency","Same_Party","No_Terms","Turncoat","Incumbent","Recontest","Age","District_Name"
"AE","Puducherry","1","1","1964","8","0","2","1","SHANMUGHAM, P","M","CONG","1726","","5221","6503","MUTHIALPET","GEN","","5","80.29","33.06","no","297","5.69","4","AEPY83880","","","TRUE","1","","","","","","1","FALSE","FALSE","FALSE","",""
"AE","Puducherry","1","1","1964","8","0","2","2","THANGAPRAKASAM","M","IND","1429","","5221","6503","MUTHIALPET","GEN","","5","80.29","27.37","no","418","8.01","4","AEPY83803","","","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","",""
"AE","Puducherry","1","1","1964","8","0","2","3","DHATCHANAMURTHY","M","PF","1011","","5221","6503","MUTHIALPET","GEN","","5","80.29","19.36","no","129","2.47","4","AEPY83804","","","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","",""
"AE","Puducherry","1","1","1964","8","0","2","4","MURUGAIAN. K.","M","IND","882","","5221","6503","MUTHIALPET","GEN","","5","80.29","16.89","no","709","13.58","4","AEPY83805","","","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","",""
"AE","Puducherry","1","1","1964","8","0","2","5","ARUL RAJ A,","M","IND","173","","5221","6503","MUTHIALPET","GEN","","5","80.29","3.31","yes","0","0","4","AEPY83806","","","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","",""
"AE","Puducherry","1","2","1964","8","0","2","1","PADMINI CHANDRASEKARAN","F","CONG","3605","","6773","9426","COUROSSUCOUPOM","GEN","","2","71.85","53.23","no","437","6.45","2","AEPY83807","","","TRUE","1","","","","","","1","FALSE","FALSE","FALSE","",""
"AE","Puducherry","1","2","1964","8","0","2","2","MURUGESA MUDALIAR, M.","M","IND","3168","","6773","9426","COUROSSUCOUPOM","GEN","","2","71.85","46.77","no","0","0","2","AEPY83773","","","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","",""
"AE","Puducherry","1","3","1964","8","0","2","1","KANKEYAN A.S.","M","CONG","1799","","4500","6436","CASSICADE","GEN","","5","69.92","39.98","no","617","13.71","3.45","AEPY83809","","","TRUE","1","","","","","","1","FALSE","FALSE","FALSE","",""
"AE","Puducherry","1","3","1964","8","0","2","2","KUPPUSAMY MUDALIAR","M","IND","1182","","4500","6436","CASSICADE","GEN","","5","69.92","26.27","no","302","6.71","3.45","AEPY83810","","","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","",""
"AE","Puducherry","1","3","1964","8","0","2","3","SARASWATI","F","PF","880","","4500","6436","CASSICADE","GEN","","5","69.92","19.56","no","308","6.84","3.45","AEPY83811","","","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","",""
